,PC1,PC2,PC3,PC4,PC5
GSM2040113,-84.87025202139989,-20.437688369532395,82.90479642418511,-70.9881245366419,17.379706429014846
GSM2040114,-74.76730673375106,15.087086771072311,17.973637196648006,22.483698420977582,46.51358861824092
GSM2040115,-138.28214672211877,18.116407867182676,2.2974154878961732,-59.81603150804745,19.867320778447258
GSM2040116,-70.90575719754943,-17.54982910001674,29.08593843920276,-50.89493945671092,-70.53060900753196
GSM2040117,25.260020989930887,-99.24733415523617,-66.35403429738162,-69.93332874039524,-43.86980585837292
GSM2040118,23.132268511844728,-26.556801628248653,-74.19878161598889,-16.587171555708533,9.16380862128372
GSM2040119,-52.26862178668918,-2.5057312403412384,-26.046503470978582,-6.670693197484936,-49.182583029154785
GSM2040120,-60.88278118091289,-49.474500244529644,-98.8715727354717,-4.8901921406130135,-102.91120266905894
GSM2040121,19.385347159401604,-31.881875181642336,-46.57950286712015,60.7494583705924,-47.52423642299992
GSM2040122,58.12788129934689,40.06427434960485,33.99231187970411,-81.68071361325842,32.498778020969795
GSM2040123,163.5836517360956,27.19437754641462,29.10409574627017,-40.596925904647875,42.680681148001945
GSM2040124,32.663896378440825,59.30292925399281,49.23362798069012,89.27876933365981,10.831719422377944
GSM2040125,100.94828637841997,60.602213450573785,12.923689486823813,58.41745427618442,18.311021607791258
GSM2040126,16.229134720128503,1.0416698932450876,101.3449610808498,36.570028686454236,-38.15861154793783
GSM2040127,-52.979926911561655,50.024504601008765,35.42305810561323,74.9764990464762,9.580657087012185
GSM2040128,-36.6956583764066,32.7060655784666,-8.083781196973344,65.2758123076014,45.30008643208598
GSM2040129,-38.34809708140884,34.23675892953895,-20.61022327559649,-5.4894263792194735,76.59636341125199
GSM2040130,-18.815187656416878,30.703420039099473,3.8025827077463497,40.02868027881823,47.59370494314762
GSM2040131,15.08741818839024,47.80333263388049,12.164974213617334,-63.73337787620657,28.086188146665968
GSM2040132,-38.48305657478292,-6.186651933859607,3.2959095871343544,-34.815676905958945,35.443031330088324
