ID_REF,GSM2040049,GSM2040050,GSM2040051,GSM2040052,GSM2040053,GSM2040054,GSM2040055,GSM2040056,GSM2040057,GSM2040058,GSM2040059,GSM2040060,GSM2040061,GSM2040062,GSM2040063,GSM2040064,GSM2040065,GSM2040066,GSM2040067,GSM2040068,GSM2040069,GSM2040070,GSM2040071,GSM2040072,GSM2040073,GSM2040074,GSM2040075,GSM2040076,GSM2040077,GSM2040078,GSM2040079,GSM2040080,GSM2040081,GSM2040082,GSM2040083,GSM2040084,GSM2040085,GSM2040086,GSM2040087,GSM2040088,GSM2040089,GSM2040090,GSM2040091,GSM2040092,GSM2040093,GSM2040094,GSM2040095,GSM2040096,GSM2040097,GSM2040098,GSM2040099,GSM2040100,GSM2040101,GSM2040102,GSM2040103,GSM2040104,GSM2040105,GSM2040106,GSM2040107,GSM2040108,GSM2040109,GSM2040110,GSM2040111,GSM2040112,GSM2040113,GSM2040114,GSM2040115,GSM2040116,GSM2040117,GSM2040118,GSM2040119,GSM2040120,GSM2040121,GSM2040122,GSM2040123,GSM2040124,GSM2040125,GSM2040126,GSM2040127,GSM2040128,GSM2040129,GSM2040130,GSM2040131,GSM2040132,GSM2040133,GSM2040134,GSM2040135,GSM2040136,GSM2040137,GSM2040138,GSM2040139,GSM2040140,GSM2040141,GSM2040142,GSM2040143,GSM2040144,GSM2040145,GSM2040146,GSM2040147,GSM2040148,GSM2040149,GSM2040150,GSM2040151
"""1552258_at""",7.631470773,6.138695063,6.703447234,6.306559359,6.015038117,5.936804569,6.078500656,6.395661342,6.286874572,7.073430033,6.043664844,5.530036299,6.03431647,6.720726344,6.576902173,6.960489516,8.396794967,7.532514815,8.603219224,6.163217091,6.62844154,6.358322148,5.727478699,6.626182072,8.172900851,7.430387624,6.208858343,6.797223795,6.212473492,6.699932137,6.526576924,7.762303884,6.187206759,6.953907623,6.178274261,7.090937344,6.396108109,7.772189182,6.976536617,6.068994833,7.422273465,7.478369552,5.239647385,5.831216944,6.429095323,6.517517501,6.564389181,6.421623026,6.37327953,5.261152695,6.928833474,6.560766249,6.156243274,6.563709881,5.686394311,6.33648413,6.508007306,6.11322096,6.817541538,7.044201207,6.632319152,7.803884712,6.079029541,6.209455085,7.8303774,6.932620828,8.474580706,7.744500864,7.094271901,5.748394225,7.262768851,6.441594655,5.448942239,7.645033887,6.410677784,6.888453869,5.371429224,6.667489554,6.196559348,5.839709413,6.374460877,6.123702964,6.915947801,7.423867837,6.047514958,5.843338014,7.509031381,7.671559427,5.886196942,7.232570517,7.156244861,7.051697954,6.494878013,6.574319002,8.061707205,6.819697281,6.259487124,6.28147771,6.301727373,6.259762007,7.15019745,5.028380866,5.678752422
"""1552263_at""",7.048311754,6.598838592,7.261012099,6.897982036,6.461628551,6.636408467,7.042507607,6.075227122,6.061178781,7.619553621,6.66674481,5.593906233,5.694588841,6.771183071,6.162712663,5.679575447,6.848995033,5.889262244,5.68220666,5.933265961,6.852999374,5.075030616,6.262852581,6.441089427,6.625974713,6.756164922,5.805087955,6.973844542,6.872749151,7.04336196,6.165205174,5.940048755,5.906040074,6.339305755,5.974415422,6.455787417,7.074864738,6.63430316,7.194534583,6.544789785,5.957828732,6.801244018,5.576573519,5.903892157,6.350350956,6.063773012,6.629558943,4.787447637,6.957616516,5.948404839,6.678597503,7.009678648,5.615811907,6.038828542,6.429341777,6.311327978,6.329469411,6.804359205,5.918358091,5.930074433,6.918971485,5.89624822,6.644676803,6.470254487,5.897193086,6.270660341,7.060442523,6.995238765,6.226344867,6.253811228,6.481851273,6.543131264,7.099844409,5.725833899,5.853933317,5.157003242,5.913713045,6.901068382,5.863347695,6.082204171,6.338056791,6.3784485,6.989748153,5.646781556,6.728933122,6.086816332,7.006288947,6.708592956,6.560772773,6.235162646,6.961313644,5.838990915,6.334997485,6.205780182,6.243027097,6.211678521,6.555529805,5.289571613,5.863021182,6.087267271,6.864427974,6.169516324,6.844220703
"""1552264_a_at""",8.568582286,8.20155456,8.312534108,9.280633936,8.351921355,7.966840609,8.303958851,7.754958067,8.086391298,8.244027533,8.052888659,7.622806439,7.544106844,8.250781314,8.40909124,7.678828539,8.443146988,7.907221238,8.665180984,8.067445033,8.580356223,7.369882207,7.671260379,7.854288307,8.564750588,8.535389758,7.604417749,8.455871973,8.335537199,8.546271357,8.122991619,7.802733486,7.854222118,8.320119523,7.769213336,7.844554864,8.797304705,8.473451721,8.630627494,8.526494364,8.539861548,8.370159221,7.368652799,7.839721238,8.295879168,7.709278157,8.404790683,7.6246631,8.644903072,8.213376847,8.642895974,8.520146041,7.313034614,8.140064925,8.176615249,7.955411843,8.338345152,8.078584322,7.886853576,7.687939529,8.464369824,8.08946491,8.353979394,8.162037374,8.352394843,8.633431709,8.721350564,8.420116558,8.337754062,8.036255468,8.078325039,7.984396122,8.810441415,7.910179048,7.574680832,7.847868457,7.707901141,8.805357412,7.870963129,8.080441747,8.489098683,8.311030624,8.250969034,8.085998106,8.328493465,8.258974941,8.740245953,8.408851727,7.89060381,8.018137771,8.748432602,7.896933963,8.37914266,8.312489875,8.096985409,8.252260333,8.532462684,7.55268536,7.630881365,7.450658192,8.53171796,8.459293565,8.411351967
"""1552272_a_at""",5.440269956,5.425304538,6.307510889,5.984819065,5.658629008,5.818073699,5.545112912,5.583886949,5.345472604,6.35759402,5.474974487,5.438581312,6.689809292,5.669172825,5.971894386,5.922576532,6.634029098,5.701144399,5.640274331,5.57860526,5.780339546,5.932523511,6.992246789,5.653328205,6.160931945,5.733972233,5.79102687,6.000975381,5.759671498,5.912999681,4.986635295,6.203941216,5.954722411,5.754780551,5.739775848,5.878479089,5.717672735,5.989243003,5.376668313,5.717031415,5.966270667,6.361767376,6.102738762,5.730090214,6.028301686,6.064515309,6.51923895,5.831646778,5.771912966,5.479123955,5.076760734,5.97967463,5.547724505,6.040621784,5.619125076,6.072635374,6.05882193,5.209855133,5.685018937,5.853860289,5.947847708,5.94010098,6.234290002,5.984808004,6.381477847,5.523719398,5.931148239,5.986888162,6.154617556,5.78621555,6.043785848,6.389243746,6.119747697,5.712846255,5.543422813,5.406147048,5.86671437,5.886685928,5.66333735,5.739938451,6.181580124,5.307500346,5.873584639,6.162654475,6.3039487,5.518682236,5.476792842,6.415072946,5.377575591,6.007845475,5.862982609,5.699391839,6.384326955,5.90590494,6.123249855,6.014425549,5.939615166,5.74231417,5.162761474,5.523147081,6.175181825,5.866323262,5.93293386
"""1552274_at""",6.570369858,6.608373357,6.32092016,7.020800809,6.201119648,6.995328194,6.836805198,7.137957247,7.575138329,6.777886554,7.323082692,6.960303348,6.365805373,7.064518053,6.355226021,7.007345516,6.483102658,7.123782969,6.916856104,6.96955368,6.958065324,7.844681259,6.372913901,7.072529596,6.922090838,6.627093059,7.645605668,6.45358396,6.470690708,6.52722372,6.499051898,7.080405169,6.834683396,6.539021656,7.582056375,7.295012022,6.378290254,6.398459608,6.378527705,7.332882538,7.173380975,7.138084604,6.538415253,7.282344684,6.665736598,6.640017103,6.523803091,6.796874267,6.402111779,6.921820207,6.894036802,7.594734266,6.814099978,6.553809168,7.509320142,6.796636124,6.059026423,7.035573403,6.716064251,6.072759363,7.224738698,6.553809168,8.305830662,6.961748928,7.185524407,6.304725638,6.654966349,6.871424539,6.956558562,6.881332888,6.505819106,6.772919416,6.23134373,7.117703756,7.390581201,6.608455443,7.207556644,8.054508056,6.556017546,6.74575459,6.880226628,7.090170176,6.758660955,6.498198205,6.523150512,7.068812651,6.49277261,6.12879953,7.324548914,6.362603615,6.621295254,7.124584095,6.947718491,6.704295825,6.327661158,6.57274775,6.556304241,7.267486021,7.011339212,7.642261006,6.140322604,7.198482009,6.311902794
"""1552275_s_at""",7.89096551,8.761243254,8.016998787,8.287958648,8.041969663,8.460153133,8.176758604,9.100380706,9.24732792,8.17389938,8.484475949,8.691219889,8.047955099,8.325827986,8.115948427,8.252027215,7.82702285,8.507696318,8.342224326,8.227284439,8.786653252,8.688134505,8.757970578,8.611042735,8.367296697,8.311281097,8.495178339,7.9149494,7.841372108,8.418688884,8.15698834,8.437253316,8.419511358,8.497962916,8.787627605,8.229872156,7.633812878,8.119778022,7.815426282,8.744352884,8.85025319,8.680118391,8.351950924,8.549814875,8.267085636,7.95833515,7.998534675,8.214947155,8.206106282,8.411637687,8.304942708,9.096465308,8.871363081,8.383452682,8.966496919,7.940653404,7.719631581,8.444734289,8.366602129,7.75544845,8.587850642,8.509794046,9.726283052,8.289376726,8.481609041,8.106078728,8.137552961,8.082667822,8.448773185,8.237827619,8.205289449,8.101412878,7.526162598,8.813323469,8.68182015,8.62312866,8.992713151,8.67891443,8.004699001,8.682434078,8.471856868,8.743212923,8.493098767,8.304868526,8.48364428,8.635899608,7.803090016,8.18127467,8.667973693,8.036745709,8.252590986,8.214366221,8.152458721,8.273573059,8.262043306,8.357189733,8.390013172,8.344621264,8.992053225,9.294215839,7.869096875,8.667038849,8.258096184
"""1552277_a_at""",10.09363747,9.492430827,9.965716433,10.01460002,9.285213607,8.785515983,9.98103612,9.260771814,9.265205401,10.15264235,9.596476253,9.156293383,9.446751051,9.579514325,9.552050603,9.508624145,10.02474567,9.947063564,10.16893688,9.518961672,9.926511672,9.321392165,9.142606856,9.44684377,10.23555645,9.996881213,9.349903894,9.490561754,9.668117145,9.755854929,9.691841831,9.636390368,9.459369,9.949790805,9.693822862,9.639498187,9.834296279,9.917958766,9.71794751,9.567529072,10.26951525,9.494922449,8.988720896,8.97268455,9.622152852,9.372249763,10.07866372,8.750516345,9.903466266,9.308898534,9.763393197,10.05935061,9.578008612,9.617377634,9.426475019,9.174025147,9.651971438,9.504258019,9.450881691,9.451093922,9.406419103,9.88733664,9.632446101,9.362911558,10.20780684,9.80160331,10.36379941,9.924705155,9.935599678,9.727790909,9.837514734,9.951118188,9.237664626,9.853630111,9.353456587,8.929582407,8.638908772,9.342363109,9.573350166,9.406378687,9.912719823,9.383299876,9.853928543,9.95648998,9.680837467,9.768223713,10.00435218,9.849888979,9.130808276,9.684637973,9.644075521,9.679923693,10.10037855,9.666566566,9.522191738,9.859262765,9.487325708,9.115879722,8.95068349,9.480254288,10.14722671,9.489977491,9.983405474
"""1552278_a_at""",4.70570978,5.848899399,6.60191194,6.059442981,6.126869231,6.70412547,5.980056743,6.168646622,5.494947597,6.03350277,5.792577379,5.977799582,6.994291752,5.746503832,5.786752209,5.722948393,6.014115876,5.218051688,6.02294465,5.726848434,5.555406608,6.971255236,6.118131795,5.840147753,6.060617855,5.757403947,6.764299337,6.751099417,6.435401315,6.172161463,5.283284715,6.607138955,6.04943142,6.133534121,6.357314546,6.542335376,5.749218921,6.128385984,4.872112619,5.749738231,6.098629239,6.086858793,6.169913176,5.437103725,6.633289257,6.237352179,6.310227117,6.411950479,6.2210684,6.060743536,5.946355012,6.335356406,5.044414571,6.567752071,6.468642155,6.310930737,6.663343886,6.321284004,5.472014553,5.716371759,6.143971741,5.45231319,6.817336169,6.580919818,5.642592166,6.288729108,5.830611991,5.479626222,6.5907815,5.942191829,6.080873468,5.207301474,6.43953288,6.142485038,6.609353941,5.384796178,5.905046947,5.704052483,6.391232795,6.124468658,5.523700242,6.638157906,5.300052466,6.317644286,6.066193455,5.187949775,5.92688842,6.092379888,6.146589254,6.326085786,5.471750469,6.472750869,6.316666928,6.438573868,5.341501111,5.478298818,5.517409507,7.079145949,6.371296307,5.586122322,6.727060048,6.177088415,6.211803637
"""1552279_a_at""",6.437902554,6.602451521,6.260790513,6.82044486,6.723792508,6.974490701,5.927433576,6.973988912,6.167714035,6.487077364,6.160284995,6.295288584,7.14937201,6.983381951,6.425937218,6.267963379,6.283163024,6.27890402,6.645990507,6.232891074,5.953505602,7.187152416,7.019521132,6.839093568,6.644760711,6.545974413,6.557148839,6.632902824,6.609357667,6.833867301,6.382545172,6.229239112,6.615480199,6.595845789,6.662917195,7.019966285,6.952846806,6.51352936,6.431309076,6.69282072,5.64186074,6.384155735,6.899328144,6.264070473,6.968255699,6.598739547,6.813323141,6.680409422,6.710535197,6.895893787,6.331811167,6.58742987,6.646580479,6.97396058,6.651384589,6.910606375,6.830437784,6.243735811,6.306789759,5.681454733,6.283369722,6.252343176,6.281368009,6.442706047,6.328908684,6.258050247,6.73328412,6.130161807,6.961675069,6.61715633,6.321440837,6.859670922,7.248166212,6.097267684,6.760026492,6.222225446,6.513221505,7.057316222,6.297701741,6.181144912,6.391696059,6.198735532,6.202704148,6.578542772,6.448972836,6.635672916,6.469570674,6.349902535,5.786607891,6.397674802,6.369032668,6.520679748,6.629207398,6.647538364,6.256547196,6.604627239,6.477039551,6.782625083,6.401736777,6.370907425,7.070296262,6.716279485,6.027097664
"""1552281_at""",7.919580933,6.800291931,7.413706083,7.011837909,6.008685463,6.423099277,7.364682906,6.986810798,6.712897914,7.532719536,7.190006498,6.785501394,6.433119612,7.287069259,6.887550596,6.37950203,8.232736625,6.411344716,7.167328898,6.559573137,6.750418509,6.627956488,6.456649216,6.663282071,7.140831619,6.785693226,6.13828285,7.512666089,7.98576723,7.464833475,6.911626725,7.162846488,6.74026738,6.656001834,6.223570685,7.085576327,8.026372199,7.632927742,6.901112917,6.290425304,7.476360663,6.913428543,6.320095049,7.046814574,7.737959493,7.267662344,7.571948093,6.3782275,7.134319029,6.314021358,6.557182859,7.741041388,6.838559856,6.548553554,6.350798636,6.173692414,6.556052831,7.061072662,6.5686886,6.939440546,7.140482818,7.623004817,6.559134726,6.96686941,8.137373062,6.21618875,7.632337802,8.00180558,7.357838493,7.244550222,7.050309226,7.329487961,7.287132949,6.697236936,5.651910689,6.40838031,6.179526616,6.386508393,6.999175917,7.344858731,7.316166626,6.925293627,6.94658499,7.220412419,6.957059886,7.17902726,6.531348077,7.763726419,6.306822516,6.112492859,6.615113548,6.615028502,8.124931669,7.10956984,6.795410648,7.105827825,6.992631862,6.620046204,6.27433502,6.386085203,7.920736699,7.099959664,7.255763574
