ID_REF,GSM631755,GSM631756,GSM631757,GSM631758,GSM631759,GSM631760,GSM631761,GSM631762,GSM631763,GSM631764,GSM631765,GSM631766,GSM631767
"""200614_at""",10.9262,10.9256,11.275,9.55,10.8816,10.2424,10.8132,10.2243,10.0966,9.56861,8.99522,10.2724,9.24032
"""200615_s_at""",7.00568,6.20133,6.03851,5.03055,6.18877,5.82065,5.58992,5.38485,6.50152,5.33555,5.96433,6.08084,4.39083
"""200616_s_at""",7.90195,7.66128,6.51155,6.41271,7.90901,8.56035,8.60845,7.783,8.12373,6.5947,6.65057,9.13625,7.42439
"""200617_at""",8.06459,8.00232,7.11694,8.12798,7.68979,7.51274,7.72085,7.58421,6.69894,7.94262,6.7383,8.39347,6.42532
"""200618_at""",8.76355,9.22046,8.76117,9.1577,8.68339,8.44239,8.32752,9.16991,8.92085,8.46947,8.34133,9.13676,8.01884
"""200619_at""",8.62773,8.43192,8.25758,7.9143,8.55973,8.24099,8.28348,8.31172,7.94617,8.0788,7.90655,8.39977,8.21169
"""200620_at""",9.97978,10.2344,10.7936,8.96753,9.16666,9.53106,9.99919,9.25771,8.8246,8.51626,8.13368,9.30132,8.6747
"""200621_at""",8.97911,8.23977,7.9286,7.99056,8.79626,8.19978,8.10317,8.52087,8.07167,8.50028,8.68699,8.41158,8.40819
"""200622_x_at""",7.64049,7.69588,7.352,6.59597,6.38897,6.50407,7.18123,6.85752,8.18821,6.61592,6.45383,7.20562,6.28615
"""200623_s_at""",6.56383,6.84976,5.98822,7.05313,5.87117,6.05708,5.85136,6.2868,6.70626,6.50657,6.19071,6.19964,5.98089
"""200624_s_at""",8.05029,7.56674,8.16696,5.54566,7.70766,7.97455,7.54187,6.931,6.83004,5.53131,5.73514,6.561,6.6149
"""200625_s_at""",10.3493,9.78619,9.39277,8.211,10.257,9.34335,9.24747,9.97391,9.42915,8.52402,8.6046,9.49007,8.7635
"""200626_s_at""",8.32777,8.4764,8.84783,6.77457,8.01855,7.99676,7.861,7.57012,6.53534,5.76387,5.37312,6.94599,6.15356
"""200627_at""",10.5558,9.52231,9.85003,8.11685,10.433,10.378,9.82365,7.70728,6.7801,7.24834,6.98562,9.23245,7.68812
"""200628_s_at""",7.89867,6.44727,7.43372,5.68874,8.06019,7.75188,8.90891,5.73597,7.27863,5.87134,6.75947,6.0291,8.92414
"""200629_at""",9.43829,8.96135,8.80574,8.30118,9.9559,9.2464,11.4289,9.13718,10.8115,7.94722,9.51644,8.34942,11.9237
"""200630_x_at""",8.9763,8.62604,8.39595,9.22542,9.50827,9.42966,9.27358,9.06669,9.19486,9.45786,9.70552,9.28867,8.89918
"""200631_s_at""",10.8391,10.4157,10.4996,9.14259,10.9645,11.1112,10.0752,10.0412,8.40956,7.99094,7.99053,9.55801,9.293
"""200632_s_at""",7.9193,8.36421,8.38339,8.22662,7.7565,7.77182,8.67559,8.23774,8.66235,8.21165,8.18444,10.9341,8.65462
"""200633_at""",12.7193,12.8751,12.8186,12.7573,12.2443,12.5053,12.5534,12.5488,12.3944,13.0493,12.1556,12.4238,12.5938
"""200634_at""",8.29135,7.5929,6.23984,7.07011,8.38914,7.36088,7.08493,6.96161,6.46595,6.74586,7.41309,6.6393,6.28873
"""200635_s_at""",7.38631,7.51596,7.14547,6.59101,7.80905,7.03113,7.82047,7.54909,7.71886,7.63046,7.43893,8.90122,7.38713
"""200636_s_at""",9.08164,9.14523,8.54066,8.06901,8.48977,7.38187,8.16031,8.89325,8.126,8.70983,6.39175,9.69381,5.98786
"""200637_s_at""",5.88529,5.62201,5.06846,5.30964,6.16161,5.0929,5.22485,5.17002,4.99455,5.77111,4.91095,6.65966,4.78965
"""200638_s_at""",10.4555,9.41756,9.6091,6.12283,10.3772,10.7484,8.43164,9.12476,8.59634,5.46249,6.42883,8.47422,8.48398
"""200639_s_at""",10.2896,10.0858,9.89222,9.43637,10.4632,10.5003,9.74127,9.81141,9.88769,9.12601,10.0019,9.98467,10.2194
"""200640_at""",11.328,10.4508,10.4043,8.81038,11.3126,11.5216,10.3024,9.46727,8.54115,8.38543,9.47977,10.5173,9.70428
"""200641_s_at""",7.78397,5.95719,6.08419,5.33841,7.63497,7.82806,6.48543,6.04765,6.93078,5.76807,6.70946,6.00504,7.35272
"""200642_at""",11.1727,11.5777,10.3824,9.54315,10.7139,10.4018,10.5931,11.2131,10.4058,10.0569,8.66576,10.3738,9.58059
"""200643_at""",8.09997,8.16555,7.36416,9.61543,8.75017,8.47154,8.29078,7.47316,7.63929,9.3633,8.31928,8.53522,7.86529
"""200644_at""",8.81514,8.01409,7.52084,6.7729,7.65152,7.81409,7.51183,8.15045,8.19212,8.2908,8.35809,8.58577,8.3767
"""200645_at""",9.74087,9.81543,9.90812,10.2188,9.29363,9.11231,10.3627,9.08778,8.01112,10.0237,9.10765,10.1682,8.24159
"""200646_s_at""",4.42953,3.85448,4.06043,4.52184,4.15157,4.1795,4.41346,4.06693,3.86269,4.53483,4.3587,3.89578,4.16503
"""200647_x_at""",10.7373,10.6212,10.0481,11.0325,11.4101,10.714,10.7173,10.0066,10.5859,11.3078,10.4091,10.5362,9.37462
"""200648_s_at""",6.63702,5.96352,5.53795,7.60734,6.58122,7.02877,5.97562,5.77634,7.24871,7.30452,6.70477,7.15716,5.90432
"""200649_at""",7.19418,6.99238,7.22136,7.79463,7.14035,6.72338,7.67849,6.86164,6.83851,7.94768,7.16176,7.94932,6.63541
"""200650_s_at""",12.128,11.5662,10.6765,9.39412,11.101,12.1476,10.2742,11.1951,10.7086,10.1669,9.43338,11.98,10.3015
"""200651_at""",10.9377,10.0166,9.48554,9.72189,11.0006,11.1566,10.0245,9.5629,8.48867,8.9558,9.13415,9.82274,8.90152
"""200652_at""",9.9011,9.44535,9.22432,10.3608,9.99014,9.95664,9.69354,9.3678,8.36028,9.60652,8.65262,9.77626,8.56564
"""200653_s_at""",8.63098,9.33445,8.26881,8.0656,7.00873,7.51152,8.21594,8.4177,8.51936,7.73904,6.73548,7.47536,7.147
"""200654_at""",10.2484,10.5127,9.90411,11.3902,10.3113,10.2826,10.6484,9.99912,8.79656,10.7284,9.77245,10.9713,9.02322
"""200655_s_at""",10.9581,11.0822,11.4807,10.6002,9.95443,10.7552,11.1587,10.8184,10.3548,9.58137,8.53775,10.3419,9.05761
"""200656_s_at""",8.93967,8.82313,8.01109,9.67482,9.11551,9.29043,8.81682,7.3298,6.25586,8.05465,6.9798,8.80524,6.3588
"""200657_at""",10.9475,10.6263,9.897,10.4736,10.4201,11.1678,10.0314,9.61379,8.2134,8.74422,8.88658,9.72447,8.99119
"""200658_s_at""",8.13233,6.85708,6.49958,6.41843,7.82879,7.19988,7.40273,6.39737,6.40638,6.18759,5.89634,6.99825,5.18041
